               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.040193,            0.087047,            0.004369,             0.36578,             0.34887,             0.26281,            0.086128,            0.067409,             0.16619,            0.036897,           0.0086437,           0.0086437,           0.0086437
                 139,            0.038701,            0.091428,           0.0044568,             0.35789,             0.37075,             0.26564,            0.091952,            0.063345,             0.17034,            0.037396,           0.0086338,           0.0086338,           0.0086338
                 140,            0.037169,            0.083942,            0.004394,             0.36087,             0.34614,             0.25666,            0.087002,            0.066602,             0.16795,            0.038633,           0.0086239,           0.0086239,           0.0086239
                 141,            0.038244,            0.085405,           0.0040982,             0.35809,             0.32594,             0.25066,            0.082906,            0.063598,             0.17248,            0.040431,            0.008614,            0.008614,            0.008614
                 142,            0.039057,            0.086904,           0.0042989,             0.41206,             0.31858,             0.26181,            0.087859,             0.06725,              0.1744,            0.036449,           0.0086041,           0.0086041,           0.0086041
                 143,            0.038413,            0.083347,           0.0042649,              0.3713,             0.34907,             0.25507,            0.083526,            0.063532,             0.17404,            0.037435,           0.0085942,           0.0085942,           0.0085942
                 144,            0.038132,            0.081851,           0.0039771,             0.41686,             0.33094,             0.27088,            0.098805,            0.065707,             0.16908,            0.035615,           0.0085843,           0.0085843,           0.0085843
                 145,            0.035297,            0.087961,            0.003972,             0.36982,             0.33784,             0.26223,            0.089426,            0.064696,              0.1743,            0.039601,           0.0085744,           0.0085744,           0.0085744
                 146,            0.034516,            0.083207,           0.0036136,             0.33587,             0.35768,             0.25625,             0.08552,            0.065242,             0.17651,            0.039376,           0.0085645,           0.0085645,           0.0085645
                 147,            0.035049,            0.080559,           0.0037241,             0.36761,             0.35805,             0.27238,              0.0884,            0.065339,              0.1745,            0.040724,           0.0085546,           0.0085546,           0.0085546
                 148,            0.038785,            0.087528,           0.0034872,             0.33033,             0.35488,             0.26687,            0.089714,            0.067503,             0.16876,            0.040472,           0.0085447,           0.0085447,           0.0085447
                 149,            0.040163,            0.087033,            0.003727,             0.42409,              0.3438,             0.27262,             0.09031,             0.06362,             0.17336,            0.039523,           0.0085348,           0.0085348,           0.0085348
                 150,            0.037742,            0.088183,           0.0038178,             0.39864,             0.30536,             0.27548,            0.095057,            0.067124,             0.18077,            0.043328,           0.0085249,           0.0085249,           0.0085249
                 151,            0.037149,            0.089449,           0.0037728,             0.35997,             0.35417,             0.27214,            0.093573,            0.063779,             0.18619,            0.039745,            0.008515,            0.008515,            0.008515
                 152,            0.034222,            0.084835,           0.0039232,             0.37003,              0.3782,             0.28173,            0.098955,            0.063336,             0.17433,            0.038057,           0.0085051,           0.0085051,           0.0085051
                 153,            0.034663,            0.086691,           0.0045554,             0.35149,             0.38257,             0.28531,            0.091571,            0.066151,             0.18131,            0.035567,           0.0084952,           0.0084952,           0.0084952
                 154,            0.038209,            0.082509,           0.0039027,             0.37091,             0.34587,             0.26086,            0.089254,            0.063911,             0.17865,            0.035208,           0.0084853,           0.0084853,           0.0084853
                 155,            0.037309,            0.085982,           0.0038061,             0.41666,             0.32441,             0.28174,            0.094243,            0.065743,             0.17033,            0.036522,           0.0084754,           0.0084754,           0.0084754
                 156,            0.037102,            0.080238,           0.0034827,             0.39034,             0.36616,             0.27899,            0.094631,            0.063371,             0.17574,            0.036673,           0.0084655,           0.0084655,           0.0084655
